Timestamp,User,Message,Message_long
2024-05-09 14:56:43+00:00,Martin_Gales,yo,2
2024-05-09 14:56:56+00:00,Martin_Gales,cool shirt,10
2024-05-09 14:57:28+00:00,Martin_Gales,OMEGALUL,8
2024-05-09 14:57:33+00:00,Martin_Gales,not the hobbits?,16
2024-05-09 14:57:47+00:00,StreamElements,dorozea is now live! Streaming Just Chatting: HELLO | !vods !newvid 🚨 😱 😳 🔴,75
2024-05-09 14:58:06+00:00,FarfarFertil,yo,2
2024-05-09 14:58:24+00:00,mahlonsmithiv,hola doro,9
2024-05-09 14:58:34+00:00,Banties1g,Yooo,4
2024-05-09 14:58:37+00:00,Banties1g,omg omg,7
2024-05-09 14:58:37+00:00,Banties1g,omg omg 󠀀,9
2024-05-09 14:58:38+00:00,Martin_Gales,doro acting like she didnt play ow2 yesterday mhm,49
2024-05-09 14:58:49+00:00,SHHEEDY,hi,2
2024-05-09 14:59:01+00:00,paultuuu,HI DORO,7
2024-05-09 14:59:09+00:00,Martin_Gales,what is the thing gkey talked about?,36
2024-05-09 14:59:18+00:00,Banties1g,dont look at the sun brother,28
2024-05-09 14:59:25+00:00,Malikan090,Hello,5
2024-05-09 14:59:27+00:00,Martin_Gales,being a doro mod sucks we get no info,37
2024-05-09 14:59:49+00:00,Martin_Gales,she only talks with her friend paul Sadding,43
2024-05-09 14:59:56+00:00,Banties1g,UGH,3
2024-05-09 15:00:06+00:00,Banties1g,parasocial,10
2024-05-09 15:00:17+00:00,paultuuu,Has anyone approached you to become a model?,44
2024-05-09 15:00:28+00:00,Banties1g,these chatters UGH,18
2024-05-09 15:01:04+00:00,Banties1g,my feeling of given up yung lain,32
2024-05-09 15:01:07+00:00,Martin_Gales,!video,6
2024-05-09 15:01:07+00:00,StreamElements,New Video GO WATCH! -> https://youtu.be/T0FOSsRqLDs?si=uivZA_b-m60l4Gzh,71
2024-05-09 15:01:13+00:00,mahlonsmithiv,million dollar baby tommy richman,33
2024-05-09 15:01:45+00:00,aRaCNiTa,hi Doro. How is going ?,23
2024-05-09 15:01:47+00:00,dominikcz_zero,hello,5
2024-05-09 15:01:52+00:00,Martin_Gales,"are there any clips you want me not to delete, im thinking of purging most clips",80
2024-05-09 15:02:00+00:00,zaxkyyy_,heloooo,7
2024-05-09 15:02:03+00:00,aRaCNiTa,very well thanks,16
2024-05-09 15:02:10+00:00,SortieWW,when we playing league,22
2024-05-09 15:02:31+00:00,dominikcz_zero,league of legends just had vanguard introduced on 1st of may,60
2024-05-09 15:02:52+00:00,Banties1g,?????,5
2024-05-09 15:02:54+00:00,Martin_Gales,wow,3
2024-05-09 15:02:58+00:00,StreamElements,REACTING to OW Cinematics for the first time -> https://youtu.be/T0FOSsRqLDs?si=uivZA_b-m60l4Gzh,96
2024-05-09 15:03:01+00:00,dominikcz_zero,vanguard is a spyware and malware,33
2024-05-09 15:03:12+00:00,zaxkyyy_,how are u doing today?,22
2024-05-09 15:03:28+00:00,StreamElements,Wanna see full VODs of certain games doro Played on Stream? Go sub to the VODs Channel -> https://www.youtube.com/@DorozeaVODS,126
2024-05-09 15:03:29+00:00,fica989,What did you cooked up today in the kitchen?,44
2024-05-09 15:03:42+00:00,dominikcz_zero,like if i'm gonna be honest... kernel-level anti-cheats are invasive af,71
2024-05-09 15:03:46+00:00,dominikcz_zero,i dont trust it at all,22
2024-05-09 15:03:51+00:00,smokedrinker_,imagine streaming lol,21
2024-05-09 15:04:00+00:00,smokedrinker_,jk,2
2024-05-09 15:04:11+00:00,Urielrc2,"Hello, greetings from Argentina HeyGuys",39
2024-05-09 15:04:13+00:00,cerealkiller3214,hello,5
2024-05-09 15:04:26+00:00,Banties1g,idk it happens to me aswell,27
2024-05-09 15:04:33+00:00,dominikcz_zero,"whether or not you trust vanguard is entirely personal choice. i myself dont trust it, period",93
2024-05-09 15:04:34+00:00,smokedrinker_,@dominikcz_zero solid opinion man. Server side AI anti cheat would be better,76
2024-05-09 15:04:42+00:00,coolguyman,"dominiks cheating in other games, scared vanguards gonna flag him",65
2024-05-09 15:04:42+00:00,pestroyer,Hello beautiful woman,21
2024-05-09 15:04:51+00:00,dominikcz_zero,shut up,7
2024-05-09 15:05:13+00:00,smokedrinker_,vangurds gonna see my special folder :( my poor pepes,53
2024-05-09 15:05:19+00:00,wassim_markovic,when we gonna see the ohne 1vs1,31
2024-05-09 15:05:19+00:00,Martin_Gales,gonna go tell gkey that you leaked the thing so he can tell his chat Devious,76
2024-05-09 15:05:39+00:00,dominikcz_zero,"all of us have sensitive information on our computer. maybe we open up our banks, do taxes, maybe we have sensitive images on our system",136
2024-05-09 15:05:47+00:00,dominikcz_zero,maybe we don't want these to get infected,41
2024-05-09 15:05:58+00:00,StreamElements,Want to keep the conversation going? Join the discord here: https://discord.gg/NprKmrBWPy,89
2024-05-09 15:06:10+00:00,smokedrinker_,OHH BEEF i love it !,20
2024-05-09 15:06:15+00:00,coolguyman,"they can sell my info to advertisers, maybe ill stop getting tampon ads",71
2024-05-09 15:06:27+00:00,abeKrd,Ohne diss when,14
2024-05-09 15:06:45+00:00,MokokoSlayer69,mahlzeit guys,13
2024-05-09 15:06:58+00:00,StreamElements,Twitter:  https://twitter.com/dorozeaxd  TikTok:  https://tiktok.com/@dorozea Instagram:  https://www.instagram.com/dorozeaxd/   YouTube: https://www.youtube.com/watch?v=Y42m-Y3PZ9s&ab_channel=Dorozea,200
2024-05-09 15:06:58+00:00,dominikcz_zero,"the chance that someone can hack your computer through vanguard is indeed low, but NEVER zero percent",101
2024-05-09 15:07:10+00:00,r3my843,hi!,3
2024-05-09 15:07:14+00:00,1206paul_,Shut up,7
2024-05-09 15:07:27+00:00,r3my843,haha,4
2024-05-09 15:07:48+00:00,Banties1g,about fucking?,14
2024-05-09 15:08:09+00:00,Martin_Gales,which one?,10
2024-05-09 15:08:30+00:00,kloakpojken,ica one is the best one. ägg i 12 pack 19:90,44
2024-05-09 15:08:31+00:00,abeKrd,Old ads would get jailed now,28
2024-05-09 15:08:38+00:00,jckxk,yo doro,7
2024-05-09 15:08:53+00:00,Martin_Gales,you mean the one i told you about?,34
2024-05-09 15:09:12+00:00,1206paul_,english only,12
2024-05-09 15:09:12+00:00,mahlonsmithiv,you got any pets doro,21
2024-05-09 15:09:26+00:00,akitox1c,"Hey doro! ^^ I meet you on tik tok, thank u for funny content, it make my feelings better :) Have a nice day/night! Also hello from Ukraine :) Have a good stream, you look pretty :)",181
2024-05-09 15:09:28+00:00,bigassmatt,@1206paul_ what about piglatin,30
2024-05-09 15:09:29+00:00,BoiTrack,@1206paul_ it was one of the ads she was talking about,54
2024-05-09 15:09:59+00:00,mahlonsmithiv,Ukraine????,11
2024-05-09 15:10:01+00:00,reflectsiam,anununununununununununaunauanuanaunauanaunauanuanaunauanaunauanaunauanaunauanaunauanaunauanaunaaunauanuananununununununununununaunauanuanaunauanaunauanuanaunauanaunauanaunauanaunauanaunauanaunauanaunaaunauanuan,210
2024-05-09 15:10:07+00:00,abeKrd,paidchatter,11
2024-05-09 15:10:14+00:00,mrIONIA,where are u living sister,25
2024-05-09 15:10:20+00:00,jckxk,LookUp,6
2024-05-09 15:10:22+00:00,Martin_Gales,@mrIONIA sweden,15
2024-05-09 15:10:27+00:00,MokokoSlayer69,is shawty single?,17
2024-05-09 15:10:29+00:00,akitox1c,LUL,3
2024-05-09 15:10:35+00:00,wasabi__ttv,ayo,3
2024-05-09 15:10:35+00:00,mrIONIA,@Martin_Gales ty body,21
2024-05-09 15:10:39+00:00,MONCASREEEE,LIDL lana del ray,17
2024-05-09 15:10:39+00:00,abeKrd,@MokokoSlayer69 uuh,19
2024-05-09 15:10:47+00:00,reflectsiam,@MokokoSlayer69 ayo twitch aint a dating sight,46
2024-05-09 15:10:48+00:00,Banties1g,AINTNOWAY,9
2024-05-09 15:10:57+00:00,wasabi__ttv,the lidl tho,12
2024-05-09 15:10:58+00:00,rico_o,you look like lizzo,19
2024-05-09 15:11:01+00:00,mrIONIA,she talking like russian people,31
2024-05-09 15:11:04+00:00,Martin_Gales,"@MokokoSlayer69 she says yes, but i think she has a bf mhm",58
2024-05-09 15:11:07+00:00,Banties1g,jackie shan,11
2024-05-09 15:11:10+00:00,wasabi__ttv,LUL,3
2024-05-09 15:11:10+00:00,KaliYuga03,rat gnawed-chair girl PogU,26
2024-05-09 15:11:11+00:00,1206paul_,it was bruce lee,16
2024-05-09 15:11:12+00:00,bigassmatt,I see it,8
2024-05-09 15:11:20+00:00,dima_wallhacks,jackie shan 🇸🇪,14
2024-05-09 15:11:26+00:00,MokokoSlayer69,@Martin_Gales than i only compete with one guys so better this way,66
2024-05-09 15:11:30+00:00,mahlonsmithiv,gakey shann?,12
2024-05-09 15:11:45+00:00,Banties1g,dima Yooo,9
2024-05-09 15:11:46+00:00,dima_wallhacks,omE,3
2024-05-09 15:11:48+00:00,klimzaa,OMEYES she looked like a meatball,33
2024-05-09 15:11:52+00:00,dima_wallhacks,thats fucked,12
2024-05-09 15:11:57+00:00,dima_wallhacks,@Banties1g Yooo,15
2024-05-09 15:11:58+00:00,bigassmatt,she went to the met gala yikes,30
2024-05-09 15:12:02+00:00,coolguyman,where are you hiding your nunchuks,34
2024-05-09 15:12:25+00:00,jckxk,parasocial much?,16
2024-05-09 15:12:26+00:00,mbaskett95,U gonna model in met gala,25
2024-05-09 15:12:30+00:00,MONCASREEEE,isnt he like 98 now?,20
2024-05-09 15:12:33+00:00,bigassmatt,yeah but didn't lizzo like just make her dancers shove bananas up their ass,75
2024-05-09 15:12:45+00:00,KaliYuga03,Good movie taste,16
2024-05-09 15:12:45+00:00,abeKrd,Sugar daddy,11
