year_month,prime,tier1,tier2,tier3,gift,ad_rev,avg,PartnerPlus,avg2,sub_rev,PartnerPlusOther
2024-05-01,80.0,75.0,1.0,3.0,191.0,98.62130222222223,163.93103448275863,95.0,165.90499439252338,502.2,128
2024-06-01,65.0,72.0,1.0,2.0,244.0,99.4602788888889,205.95652173913044,86.0,216.28957166985214,546.2,146
2024-07-01,102.0,96.0,1.0,4.0,793.0,118.66099888888888,208.77777777777777,122.0,209.68051448788782,1410.1999999999998,160
2024-08-01,106.0,93.0,1.0,4.0,238.0,115.63014222222223,241.38095238095238,119.0,243.26799255706095,634.5999999999999,185
2024-09-01,120.0,154.0,1.0,6.0,1072.0,177.91092444444445,274.61538461538464,192.0,273.7194082512505,1917.2,246
2024-10-01,158.0,165.0,1.0,2.0,1317.0,186.06628111111112,344.38461538461536,179.0,349.2686596114779,2308.7999999999997,271
2024-11-01,129.0,127.0,1.0,8.0,2070.0,200.65968444444445,404.0416666666667,177.0,416.70119915364717,3299.2,288
2024-12-01,202.0,212.0,2.0,15.0,1318.0,283.6746777777778,494.0740740740741,306.0,500.94910791194684,2505.3999999999996,409
2025-01-01,323.0,256.0,7.0,26.0,1420.0,369.6126377777778,738.0769230769231,426.0,729.2203720510155,2948.2,694
2025-02-01,476.0,479.0,8.0,23.0,2986.0,1030.4909011111113,2216.9166666666665,633.0,2175.591988158407,5654.799999999999,783
2025-03-01,516.0,324.0,4.0,25.0,1486.0,796.4959166666666,1164.392857142857,482.0,1180.7344606246884,3392.6000000000004,728
2025-04-01,387.0,221.0,1.0,12.0,1052.0,486.3857311111111,1019.16,295.0,1018.8862540819723,2386.7999999999997,592
2025-05-01,333.0,200.0,4.0,13.0,594.0,471.8520722222222,1038.44,286.0,1053.5547906122852,1654.0,555
2025-06-01,362.0,213.0,2.0,11.0,884.0,476.56462111111114,987.44,283.0,990.0378533968569,2103.2,533
2025-07-01,310.0,223.0,2.0,16.0,853.0,466.2398444444445,1006.4230769230769,323.0,1006.8090446232765,2026.0,551
2025-08-01,317.0,205.0,3.0,8.0,340.0,440.49853777777776,1021.4,259.0,1044.9166304259015,1255.1999999999998,525
2025-09-01,296.0,232.0,1.0,14.0,1105.0,429.1604433333333,917.3076923076923,318.0,917.268646649932,2359.0,514
2025-10-01,279.0,221.0,1.0,12.0,1249.0,419.7701,889.4444444444445,295.0,895.5987084936455,2511.3999999999996,510
2025-11-01,95.0,65.0,0.0,0.0,93.0,165.0073522222222,917.4444444444445,65.0,907.9252966674208,354.2,103
