"1, doro, !play, good, omE"
"sigma, doro, !play, mhm, 1"
"mhm, !play, omE, doro, good"
"!play, mhm, doro, omE, LUL"
"mhm, doro, good, O?, me"
"mhm, setup, omE, !play, no"
"mhm, !play, peroni, doro, K?"
"doro, mhm, me, when, @Martin_Gales"
"peroni, !play, doro, mhm, no"
"LITHUANIA, good, song, no, #N1"
"LUL, mhm, how, omE, no"
"mhm, doro, no, game, omE"
"xd, !play, LUL, rameeKEK, omE"
"omE, hu, rameeKEK, !play, peroni"
"happy, happi, :D, am, !play"
"no, doro, good, yes, get"
"good, doro, mhm, play, get"
"doro, omE, raid, LUL, rameeKEK"
"mhm, doro, good, cult, !play"
"dimacut, RAID, raid, 󠀀, mhm"
"tier, mhm, good, omE, bro"
"good, tier, S, no, bro"
"gkeyL, rameeKEK, raid, gamily, 100k"
"!play, doro, play, no, AIMindControlAttempt3"
"will, got, doro, no, omE"
"mhm, no, go, game, Prayge"
"chair, mhm, doro, !play, no"
"@1206paul_, doro, mhm, good, no"
"PepeLaugh, no, mhm, doro, go"
"doro, K?, mhm, @1206paul_, im"
"TriHard, LETSGO, omE, doro, gg"
"bye, doro, mhm, good, her"
"doro, ding, play, up, LUL"
"dimacut, RAID, boss, Prayge, no"
"EZ, WW, gg, no, go"
"go, no, mhm, game, there"
"mhm, !play, try, no, @Martin_Gales"
"go, no, good, game, PagMan"
"mhm, doro, no, gg, game"
"!play, no, game, doro, one"
"!play, no, boss, go, game"
"EZ, no, nt, WW, !play"
"!play, LUL, peroni, omE, mhm"
"peroni, !play, mhm, no, doro"
"her, gg, no, doro, nt"
"EZ, WW, gg, 󠀀, owoCheer"
"doro, play, good, how, me"
"gg, mhm, game, boss, no"
"!play, boss, mhm, sigma, LUL"
"1, boss, no, mhm, LUL"
"!play, boss, 1, sub, ako3523"
"back, OMEGALUL, mhm, gkey, OMEYES"
"mhm, nt, no, doro, get"
"!play, doro, no, me, mhm"
"!play, doro, no, get, ligma"
"dimacut, RAID, raid, 1, Tier"
"1, Tier, gifted, sub, imsoan"
"nt, boss, mhm, game, good"
"gg, WW, EZ, 󠀀, doro"
"!play, doro, no, good, play"
"RAID, dimacut, RAIDdimacut, DIMA, !play"
"1, gifted, sub, Tier, xyasha_"
"good, doro, no, @dorozea, stream"
"WAR, THUNDER, gg, ⭐, pspMuga"
"WW, play, EZ, doro, mhm"
"game, MONKA, no, doro, go"
"!play, OMEGALUL, doro, game, no"
"game, doro, me, 1, mhm"
"play, league, game, buy, yes"
"WW, LL, no, play, doro"
"WW, game, doro, yo, go"
"WW, sigma, 󠀀, gkey, doro"
"RAID, FEMBOY, dimacut, WW, jimmy"
"!play, doro, me, WW, mhm"
"!play, WW, game, o7, go"
"1, gifted, Tier, ShineAizeNnFPS, sub"
"horse, game, omE, no, emoneyHELP"
"horse, game, bro, go, no"
"horse, !play, LUL, bro, OMEGALUL"
"!play, doro, WW, LUL, me"
"!play, how, game, no, me"
"!play, no, LOL, game, good"
"game, good, no, applause, lol"
"!play, WW, game, o7, me"
"LUL, doro, no, game, play"
"!play, doro, LOL, how, no"
"!play, horse, o7, doro, no"
"!play, paul, doro, go, o7"
"!play, doro, play, good, o7"
"doro, game, play, no, go"
"!play, WW, bro, doro, me"
"doro, WW, mhm, no, why"
"!play, WW, doro, o7, LUL"
"matSad, !play, o7, 󠀀, Cinema"
"bro, no, WW, play, LUL"
"WW, OMEGALUL, doro, Cinema, bro"
"!play, play, doro, LUL, WW"
"play, game, only, deadlock, tf2"
"1, LUL, WW, LOL, one"
"LUL, doro, game, good, bro"
"!play, LUL, play, hi, no"
"!play, play, 1, game, sub"
"doro, no, stream, janemmELRAID, ok"
"!play, doro, no, play, me"
"play, me, doro, no, game"
"WW, looks, good, eat, bro"
"LUL, paul, game, doro, no"
"game, play, no, me, LUL"
"!play, !boost, game, lol, play"
"!play, 1, gifted, Tier, sub"
"!play, game, play, no, doro"
"WW, why, doro, feel, sigma"
"WW, OMEGADANCE, stream, 1, play"
"WW, doro, no, how, why"
"!play, WW, !boost, doro, play"
"omeClap, doro, play, !play, WW"
"FEIN, ome44, ome99, klimzaOMEYES, ome32"
"FEIN, ome44, ome99, HAWK, RIPBOZO"
"FEIN, ome44, fein, RAID, 󠀀"
"!play, play, get, doro, nice"
"FEIN, ome44, ome32, ome99, doro"
"FEIN, ome99, ome44, no, doro"
"doro, no, FEIN, me, ome44"
"FEIN, ome44, !play, 1, gifted"
"aga, no, play, doro, how"
"hi, no, me, doro, game"
"!play, doro, me, get, new"
"FEIN, ome44, ome32, LOL, doro"
"FEIN, 1, ome44, doro, Tier"
"!play, la, xdd, doro, hi"
"play, 1, Tier, doro, sub"
"!play, LUL, game, doro, paul"
"!play, play, doro, Tier, 1"
"game, LOL, doro, no, why"
"LUL, doro, me, 1, WW"
"NO, ELP, o7, renxNOPERS, Dinema"
"FEIN, ome44, FEINFEINFEINFEINFEINFEINFEINFEI, !play, 󠀀"
"FEIN, ome44, ome99, 󠀀, ome52"
"!play, LOL, play, 1, paul"
"FEIN, ome44, hi, LOL, no"
"game, doro, mhm, omE, no"
"ome44, FEIN, game, doro, LUL"
"!play, ome44, game, doro, o7"
"ome44, LOL, doro, no, @1206paul_"
"doro, LOL, no, dorozeaHey, LUL"
"LOL, K?, ome52, T?, 1"
"FEIN, ome96, !play, LOL, game"
"LOL, doro, 1, hi, gg"
"LOL, doro, no, O?, hi"
"ome32, !play, ome44, 1, Tier"
"ome44, LOL, RAID, ADHD, SHALALALALLA"
"FEIN, ome44, ome32, LOL, no"
"FEIN, ome44, LOL, ome96, ome32"
"zyzzBass, RELEASE, ome44, FUARK, LOL"
"ome44, no, streamer, RaveTime, LOL"
"ome44, NO, STREAMER, !play, !boost"
"ome18, ome44, 100K, dorozeaSlam, SpeedLaugh"
"FEIN, ome44, !play, 1, gifted"
"doro, mhm, hi, LOL, ome44"
"ome44, doro, hi, LOL, mhm"
"Prayge, ome44, 󠀀, OOOO, Smile"
"!play, ome44, hi, doro, o7"
"ome44, dorozeaSlam, LOL, hi, speed44"
"ji, dorozeaSlam, ome44, OOOO, raid"
"LOL, WW, mhm, ome44, dorozeaSlam"
"ome44, dorozeaSlam, LOL, mhm, LUL"
"ome44, LOL, widetime, 1, fein"
"widetime, !play, ome44, !boost, 󠀀"
"ome44, 1, Tier, gifted, WW"
"ome44, OOOO, gkey, omE, doro"
"ome44, sub, 1, gifted, Tier"
"sub, gifted, 1, Tier, widetime"
"om, ome32, jah, ome44, 󠀀"
"game, LOL, doro, play, ome44"
"!play, ome44, dorozeaSlam, dorozeaTweak, LOL"
"FEIN, ome44, birthday, happy, Tier"
"ome44, doro, no, play, hi"
"dorozeaChad, Listening, good, ome44, stream"
"!play, ome44, game, 1, play"
"!play, ome44, hi, play, doro"
"LOL, ome44, batman, hi, FEIN"
"ome44, om, LOL, hi, doro"
"zyzzBass, ome44, LOL, om, doro"
"ome44, LOL, no, omE, stream"
"ome44, LOL, no, mhm, OOOO"
"ome44, LOL, GONE, STREAMER, om"
"dome, ome44, OOOO, LOL, WW"
"ome44, LOL, WW, dome44, om"
"LOL, !play, ome44, LUL, OOOO"
"LOL, ome44, OOOO, bye, mhm"
"FEIN, ome44, fein, dome44, widetime"
"ome44, LOL, Tier, gifted, sub"
"!play, !boost, LOL, ome44, o7"
"OOOO, ome44, LOL, Tier, 1"
"LOL, OOOO, ome44, qq, LUL"
"widetime, !play, LOL, 󠀀, o7"
"ome44, OOOO, Tier, 1, gifted"
"WW, OOOO, TriDance, ome44, play"
"ome44, LOL, WW, LUL, qq"
"FEINFEINFEINFEINFEINFEINFEINFEI, ome44, LOL, qq, OOOO"
"ome44, play, LOL, qq, @dorozea"
"OOOO, ome44, WW, LOL, Prayge"
"FEIN, ome44, widetime, fein, !play"
"ome44, OOOO, LOL, x1206pPurple, chat"
"FEIN, ome44, FEET, YEIN, om"
"ome44, LOL, qq, 1, sub"
"FEIN, ome44, !play, !boost, 󠀀"
"ome44, !play, LOL, !boost, or"
"ome44, 1, OOOO, Tier, gifted"
"ome44, 󠀀, 1, LOL, OOOO"
"ome44, qq, LOL, chat, @uuccugr"
"ome44, TOILED, LOL, NO, bruv"
"ome44, LOL, batman, OOOO, qq"
"FEIN, ome44, dome44, LOL, game"
"ome44, LOL, mhm, om, OOOO"
"ome44, LOL, game, batman, OOOO"
"Dinema, ome44, ome32, LOL, WW"
"ome44, LOL, me, play, OOOO"
"DORO, LETSGO, TEAM, !play, ome44"
"LETSGO, TEAM, DORO, ome44, PewPewPew"
"!boost, !play, JARVIS, ome44, OOOO"
"MIKU, ome44, ome32, qq, LOL"
"ome44, !play, LOL, LETSGO, ome52"
"LETSGO, HERE, Dinema, ome44, !play"
"ome44, !play, OOOO, LOL, !boost"
"!play, ome44, !boost, LOL, om"
"!play, mikuPls, ome44, !boost, 1"
"ome44, LOL, qq, OOOO, play"
"!play, !boost, FEINFEINFEINFEINFEINFEINFEINFEI, LOL, doro"
"ome44, LOL, mhm, OOOO, game"
"ome44, mhm, LOL, qq, Pffttt"
"ome44, LOL, 1, OOOO, RAID"
"ome44, WidezyzzPls, zyzzBass, FUARKKKK, RELEASE"
"BOOM, ome44, LOL, qq, 1"
"!boost, !play, 󠀀, ome44, o7"
"mikuPls, play, LOL, OOOO, game"
"ome44, LOL, @dorozea, OOOO, no"
"xar2EDM, !play, xJAM, catPls, ome44"
"ome44, doro, 1, qq, hi"
"!watchtime, LOL, doro, 1, no"
