user,duration,formatted_time,duration_hours
StreamElements,131 days 02:59:02,131d 2h 59m,3146.983888888889
balintboss,129 days 00:42:26,129d 0h 42m,3096.7072222222223
Aluminiumminimumimmunity,116 days 14:32:27,116d 14h 32m,2798.5408333333335
Fossabot,104 days 15:44:24,104d 15h 44m,2511.74
JBIN2036,102 days 16:41:25,102d 16h 41m,2464.6902777777777
1206paul_,76 days 14:42:34,76d 14h 42m,1838.7094444444444
Nightbot,71 days 10:07:21,71d 10h 7m,1714.1225
trek44_,59 days 17:37:05,59d 17h 37m,1433.6180555555557
KRIESEAX,59 days 15:20:26,59d 15h 20m,1431.3405555555555
rafa30___,59 days 11:57:01,59d 11h 57m,1427.9502777777777
Wanderer039,56 days 01:04:17,56d 1h 4m,1345.0713888888888
Zeololz,55 days 01:16:32,55d 1h 16m,1321.2755555555555
Typhu25,53 days 12:15:54,53d 12h 15m,1284.265
Martin_Gales,51 days 10:45:34,51d 10h 45m,1234.7594444444444
lajoss__,50 days 09:50:28,50d 9h 50m,1209.841111111111
shogalul,49 days 15:50:17,49d 15h 50m,1191.8380555555555
noJokeee1,49 days 03:43:20,49d 3h 43m,1179.7222222222222
klimzaa,49 days 01:48:12,49d 1h 48m,1177.8033333333333
banties_x,47 days 10:06:21,47d 10h 6m,1138.1058333333333
stan_iv4,46 days 22:27:52,46d 22h 27m,1126.4644444444446
Ivana_10,42 days 09:01:32,42d 9h 1m,1017.0255555555556
hellrazor_0,40 days 23:11:35,40d 23h 11m,983.1930555555556
PiGE0N98,40 days 12:43:32,40d 12h 43m,972.7255555555555
ifanbenmezda,40 days 05:04:19,40d 5h 4m,965.0719444444444
elluiti,39 days 15:34:42,39d 15h 34m,951.5783333333334
W1r3lesss,39 days 10:21:32,39d 10h 21m,946.3588888888889
Odah_02,38 days 08:26:59,38d 8h 26m,920.4497222222222
MyLastTwitchAccount,38 days 04:55:24,38d 4h 55m,916.9233333333333
erdeedge,36 days 21:25:22,36d 21h 25m,885.4227777777778
CrystalMethod1000,36 days 07:31:19,36d 7h 31m,871.5219444444444
cr7vaibhav,34 days 12:46:06,34d 12h 46m,828.7683333333333
haHAA_12_btw,34 days 04:44:57,34d 4h 44m,820.7491666666666
teavapiti,33 days 16:34:59,33d 16h 34m,808.5830555555556
polimpompis,33 days 14:31:07,33d 14h 31m,806.5186111111111
softarballtt,33 days 12:05:11,33d 12h 5m,804.0863888888889
nishad13,33 days 06:56:30,33d 6h 56m,798.9416666666667
Aloddin,31 days 08:11:36,31d 8h 11m,752.1933333333334
rautsi__,30 days 22:37:11,30d 22h 37m,742.6197222222222
Chili_Con_Bacon,30 days 17:52:31,30d 17h 52m,737.8752777777778
Hueqi,30 days 11:55:00,30d 11h 55m,731.9166666666666
55Dash,30 days 06:03:50,30d 6h 3m,726.0638888888889
GEORGIE1471,29 days 19:33:59,29d 19h 33m,715.5663888888889
CrazeE420xd,29 days 07:18:36,29d 7h 18m,703.31
kindheadbanger,28 days 23:56:17,28d 23h 56m,695.9380555555556
thebigdogjay,28 days 17:14:34,28d 17h 14m,689.2427777777777
