user,total_messages,aura,total_words,most_common_word_1,most_common_word_2,most_common_word_3,total_streams,longest_streak,first_message_date,first_message_text,last_message_date,last_message_text,achivments,words_result
07moki,801,23823.0,5672,xqc32,speed1,wideSpeedLaugh3,22,3,2024-12-30 14:26:32+01:00,I'm ready to get big surprised,2025-03-21 20:31:37+01:00,@banties_x,"[0, 0, 0, 0, 0]","['xqc32', 2035, 'speed1', 525, 'wideSpeedLaugh3', 219]"
0buddha,2237,124467.0,9024,the,you,a,110,12,2024-08-06 17:22:10+02:00,Dororo,2025-03-26 20:27:01+01:00,Pffttt,"[1, 1, 0, 0, 0]","['LOL', 101, 'omE', 37, 'ome44', 33]"
1206paul_,20860,462839.0,110845,ome44,the,FEIN,268,168,2024-05-01 17:12:43+02:00,go and find some friends ICANT,2025-03-26 21:01:57+01:00,AwHellNah,"[1, 1, 1, 1, 0]","['ome44', 3980, 'LETSGO', 995, 'WW', 693]"
1SKELTON,2944,64185.5,9145,the,i,you,57,9,2024-05-09 17:52:28+02:00,SKELTON_19 subscribed at Tier 1. They've subscribed for 12 months! omg a year SLAY,2025-03-10 17:17:58+01:00,"@banties_x reallyyyy? LETSGO that makes me happy, hope you enjoy it!","[1, 0, 0, 0, 0]","['omE', 84, 'RIRI', 60, 'VibePls', 49]"
1o1m4n,881,85342.0,2925,is,you,hi,77,17,2024-10-29 16:50:05+01:00,song is 🔥,2025-03-24 17:31:13+01:00,hi guys,"[0, 1, 0, 0, 1]","['hi', 51, '!play', 43, 'Paul', 10]"
1rabo,1236,53636.0,5263,ome44,the,FEIN,44,9,2024-05-02 18:45:49+02:00,yes,2024-10-23 15:36:02+02:00,ome44,"[0, 0, 0, 0, 0]","['ome44', 135, 'LOL', 50, 'EZ', 21]"
28_Jay,762,53994.0,2450,the,is,it,43,12,2024-05-31 17:23:48+02:00,Hello,2024-09-14 17:56:57+02:00,gg,"[1, 0, 0, 0, 0]","['omEE', 20, 'AINTNOWAY', 18, 'Pffttt', 14]"
55Dash,2954,129491.0,11955,ome44,FEIN,i,126,13,2024-05-02 19:51:34+02:00,did you finally win a comp game?,2025-03-26 19:11:39+01:00,ome44,"[1, 1, 0, 1, 0]","['ome44', 997, 'WIDEALERT', 131, 'OMEGALUL', 78]"
6ridge,868,51027.0,4554,you,the,is,43,7,2024-08-21 17:07:13+02:00,"hi, I saw you on youtube talking about a toy that looked like a lamp",2025-01-11 14:51:34+01:00,you're def afraid of spiders,"[1, 1, 0, 0, 0]","['LOL', 70, 'Sadding', 57, 'HEHE', 32]"
ACEiCLE,675,-28222.0,6939,speed1,󠀀,uuh,5,2,2025-01-31 16:58:50+01:00,LOL,2025-03-20 22:01:10+01:00,!bedrooms,"[0, 0, 0, 0, 0]","['speed1', 5998, 'uuh', 85, '!boost', 85]"
ASSpaperman,1640,25033.0,6654,speed1,u,i,33,11,2025-02-04 15:40:46+01:00,@dorozea privet hello hey ya,2025-03-26 19:34:44+01:00,chill game more fun,"[0, 0, 0, 0, 0]","['speed1', 258, 'ome44', 51, 'STREAMER', 44]"
