date	user	message	stream
2025-01-23 13:03:56 UTC	beeurte	Cold playlist	221
2025-01-23 13:03:56 UTC	Fossabot	@beeurte Sorry Doro's Spotify playlist is private.	221
2025-01-23 14:11:43 UTC	Nexurl	!playlist	221
2025-01-23 14:11:43 UTC	Fossabot	@Nexurl Sorry Doro's Spotify playlist is private.	221
2025-01-23 14:49:43 UTC	s3ntyo_	!playlist	221
2025-01-23 14:49:43 UTC	Fossabot	@s3ntyo_ Sorry Doro's Spotify playlist is private.	221
2025-01-24 13:17:25 UTC	sirsonam	W playlist	222
2025-01-24 13:17:25 UTC	Fossabot	@sirsonam Sorry Doro's Spotify playlist is private.	222
2025-01-24 13:39:34 UTC	chickenchop	@dorozea do you have a spotify playlist ?	222
2025-01-24 13:39:34 UTC	Fossabot	@chickenchop Sorry Doro's Spotify playlist is private.	222
2025-01-24 13:53:49 UTC	sharlotka321	Do you have a playlist of music?	222
2025-01-24 13:53:49 UTC	Fossabot	@sharlotka321 Sorry Doro's Spotify playlist is private.	222
2025-01-24 13:55:20 UTC	sharlotka321	Do you have a playlist of music?	222
2025-01-24 13:55:20 UTC	Fossabot	@sharlotka321 Sorry Doro's Spotify playlist is private.	222
2025-01-24 14:01:55 UTC	ilix677	!playlist	222
2025-01-24 14:01:55 UTC	Fossabot	@ilix677 Sorry Doro's Spotify playlist is private.	222
2025-01-24 14:05:17 UTC	VascoMMV	this is a very random playlist	222
2025-01-24 14:05:18 UTC	Fossabot	@VascoMMV Sorry Doro's Spotify playlist is private.	222
2025-01-24 16:24:58 UTC	sirsonam	this playlist is god tire	222
2025-01-24 16:24:59 UTC	Fossabot	@sirsonam Sorry Doro's Spotify playlist is private.	222
2025-01-26 13:36:12 UTC	deevvking23	Hi Dori, where can I find any of your playlist on stream? I	223
2025-01-26 13:36:12 UTC	Fossabot	@deevvking23 Sorry Doro's Spotify playlist is private.	223
2025-01-26 14:20:56 UTC	spectator________	What playlist are you on? Too many bangers	223
2025-01-26 14:20:56 UTC	Fossabot	@spectator________ Sorry Doro's Spotify playlist is private.	223
2025-01-26 15:19:18 UTC	arshia_np	i need your playlist	223
2025-01-26 15:19:18 UTC	Fossabot	@arshia_np Sorry Doro's Spotify playlist is private.	223
2025-01-26 17:17:07 UTC	sanya1618	How long is your music playlist Doro?	223
2025-01-26 17:17:07 UTC	Fossabot	@sanya1618 Sorry Doro's Spotify playlist is private.	223
2025-01-26 17:20:01 UTC	pepo1080	!playlist	223
2025-01-26 17:20:01 UTC	Fossabot	@pepo1080 Sorry Doro's Spotify playlist is private.	223
2025-01-26 17:43:28 UTC	theprimephilosophy	Dorozea nice playlist	223
2025-01-26 17:43:29 UTC	Fossabot	@theprimephilosophy Sorry Doro's Spotify playlist is private.	223
2025-01-27 16:08:09 UTC	blasi01_	playlist available somewhere?	224
2025-01-27 16:08:10 UTC	Fossabot	@blasi01_ Sorry Doro's Spotify playlist is private.	224
2025-01-27 16:11:05 UTC	blasi01_	your playlist available somewhere?	224
2025-01-27 16:11:06 UTC	Fossabot	@blasi01_ Sorry Doro's Spotify playlist is private.	224
2025-01-27 16:24:07 UTC	abdurasul6060	Share playlist	224
2025-01-27 16:24:08 UTC	Fossabot	@abdurasul6060 Sorry Doro's Spotify playlist is private.	224
2025-01-27 16:26:03 UTC	abdurasul6060	You have playlist in spotify?	224
2025-01-27 16:26:04 UTC	Fossabot	@abdurasul6060 Sorry Doro's Spotify playlist is private.	224
2025-01-27 17:42:13 UTC	TiadaKatil	!playlist	224
2025-01-27 17:42:13 UTC	Fossabot	@TiadaKatil Sorry Doro's Spotify playlist is private.	224
2025-01-27 18:23:38 UTC	fuji275	playlist?	224
2025-01-27 18:23:39 UTC	Fossabot	@fuji275 Sorry Doro's Spotify playlist is private.	224
2025-01-27 19:35:12 UTC	vetkudin	give ur playlist	224
2025-01-27 19:35:13 UTC	Fossabot	@vetkudin Sorry Doro's Spotify playlist is private.	224
2025-01-28 15:42:50 UTC	batates_alkhatib	can we have your music playlist?	225
2025-01-28 15:42:51 UTC	Fossabot	@batates_alkhatib Sorry Doro's Spotify playlist is private.	225
2025-01-29 14:00:53 UTC	an1ggg	!playlist	226
2025-01-29 14:00:54 UTC	Fossabot	@an1ggg Sorry Doro's Spotify playlist is private.	226
2025-01-29 15:07:12 UTC	Wazinator	!playlist	226
2025-01-29 15:07:12 UTC	Fossabot	@Wazinator Sorry Doro's Spotify playlist is private.	226
2025-01-29 15:20:54 UTC	Jehezken	!playlist	226
2025-01-29 15:20:54 UTC	Fossabot	@Jehezken Sorry Doro's Spotify playlist is private.	226
2025-01-29 16:02:54 UTC	the4yuo	do you here the music yourself too or is it just a random playlist	226
2025-01-29 16:02:54 UTC	Fossabot	@the4yuo Sorry Doro's Spotify playlist is private.	226
2025-01-29 16:22:49 UTC	keshdd1715	!playlist	226
2025-01-29 16:22:49 UTC	Fossabot	@keshdd1715 Sorry Doro's Spotify playlist is private.	226
2025-01-30 14:34:56 UTC	sed_kar11m	whats your playlist?	227
2025-01-30 14:34:56 UTC	Fossabot	@sed_kar11m Sorry Doro's Spotify playlist is private.	227
2025-01-31 13:45:05 UTC	JBIN2036	is that gkeys SEXO  playlist?	228
2025-01-31 13:45:05 UTC	Fossabot	@JBIN2036 Sorry Doro's Spotify playlist is private.	228
2025-01-31 14:06:24 UTC	psy9116	playlist ?	228
2025-01-31 14:06:25 UTC	Fossabot	@psy9116 Sorry Doro's Spotify playlist is private.	228
2025-01-31 14:31:27 UTC	Zodiak_L9	SEXO playlist	228
2025-01-31 14:31:27 UTC	Fossabot	@Zodiak_L9 Sorry Doro's Spotify playlist is private.	228
2025-01-31 14:48:42 UTC	Sevenena	!playlist	228
2025-01-31 14:48:42 UTC	Fossabot	@Sevenena Sorry Doro's Spotify playlist is private.	228
2025-01-31 17:23:31 UTC	sqvirttt	!playlist	228
2025-01-31 17:23:31 UTC	Fossabot	@sqvirttt Sorry Doro's Spotify playlist is private.	228
2025-02-01 13:12:48 UTC	tomii1901	good playlist	229
2025-02-01 13:12:48 UTC	Fossabot	@tomii1901 Sorry Doro's Spotify playlist is private.	229
2025-02-01 13:17:52 UTC	billu_sanda007	!playlist	229
