date	user	message	stream
2024-05-02 17:20:51 UTC	HuntAPB	no baby photos, the unibrow was one thing, but being bald was another	1
2024-05-03 17:49:11 UTC	sbeedy20	@mustowned BabyRage	2
2024-05-03 19:51:05 UTC	balintboss	What 🤷‍♂️ is love ❤️baby 👶🍼 don’t 🙅‍♂️❌🛑 hurt 😢 😖😵 me😭😤 don’t 🙅‍♂️❌🛑 hurt 😢 😖😵 me😭😤 no 🤬 more 🥴😪	2
2024-05-04 15:45:31 UTC	SkirmishX	from a baby	3
2024-05-05 18:25:37 UTC	roxa0	call me baby Flirt	4
2024-05-06 16:13:56 UTC	x3lolx	baby oil ?	5
2024-05-06 16:14:10 UTC	ve1nzo	pineapple juice and baby oil in 1 pic	5
2024-05-06 16:15:04 UTC	maskedm0nkey	the baby oil LMAO	5
2024-05-06 16:15:25 UTC	pyrotekn1c	baby oil + papper	5
2024-05-06 16:17:07 UTC	tomcs94	has all his baby oil and tissues ready for doro stream	5
2024-05-06 16:17:41 UTC	Trizze	to wipe up baby oil	5
2024-05-06 16:18:25 UTC	xscapehll	baby oil and tissue papers sus	5
2024-05-06 17:22:32 UTC	drewniak2115xd	baby oil?????	5
2024-05-06 18:26:48 UTC	1206paul_	Baby you light up my world like nobody else The way that you flip your hair gets me overwhelmed But when you smile at the ground it ain't hard to tell You don′t know oh, oh You don′t know you're beautiful	5
2024-05-09 15:01:13 UTC	mahlonsmithiv	million dollar baby tommy richman	7
2024-05-09 15:26:57 UTC	1nittsickooo	babyface	7
2024-05-09 15:55:33 UTC	walnutNESS	have you watched baby reindeer	7
2024-05-09 17:27:08 UTC	kipperrton	baby cakes is going wild	7
2024-05-09 18:48:14 UTC	djawedev	baby zombies	7
2024-05-10 15:09:51 UTC	Martin_Gales	all i know is that Baby Lasagna (coatia) is the underdog and now people think he will win so hes my bet mhm	8
2024-05-10 15:52:15 UTC	frunze007	Ohh she is still baby 🍼	8
2024-05-10 16:15:06 UTC	1SKELTON	i dont think he can have a baby	8
2024-05-10 16:15:39 UTC	Typhu25	beliebaby	8
2024-05-10 16:15:42 UTC	TandeBoy	he can't have a baby	8
2024-05-10 16:18:07 UTC	IvanOnMyOwn	Justin Bieber announces baby and Doro is pregnant mhm	8
2024-05-10 16:18:47 UTC	Typhu25	@dorozea skibidi ohio ahh baby 💀	8
2024-05-10 16:25:02 UTC	Martin_Gales	@croat1 baby lasagna ayo	8
2024-05-10 18:47:52 UTC	klimzaa	gg BabyRage	8
